Общество с ограниченной ответственностью 1 СТРОИТЕЛЬНЫЙ ХОЛДИНГ;обл Калининградская, г Калининград, ул Генерал-лейтенанта Озерова д. 17Б;3906245291;Пашковский Павел Петрович;+7 (401) 230-59-00;ckmonolit2007@yandex.ru
Общество с ограниченной ответственностью 10 КВАРТАЛ;обл Московская Дмитровский город Дмитров село Озерецкое д. 29 комната 2 50;5050102110;Меламуд Александр Романович;+7 (495) 107-91-24;resnov@cmft.ru
Жилищный или жилищно-строительный кооператив 10 ЛЕТ ОКТЯБРЯ 43 К 1;Омская область, город Омск, улица Иркутская 72, кв.106;5504243675;-;+7 (381) 253-58-79;sg-10let431@mail.ru
Общество с ограниченной ответственностью 11 КВАРТАЛ;АО Ханты-Мансийский Автономный округ - Югра Город Ханты-Мансийск Улица Гагарина д. 118/1 кв. 1;8601065920;Мовсисян Вачаган Вачаганович;+7 (346) 738-86-55;secretar@sst.hm
Общество с ограниченной ответственностью 168 КВАРТАЛ;г Москва наб Пресненская 8 1;7703769272;Шпакова Ирина Николаевна;+7 (495) 988-98-21;info@m1develop.ru
Жилищный или жилищно-строительный кооператив 212-2;обл Ростовская город Таганрог улица Свободы/Трудовых резервов д. 25/9;6154572922;-;+7 (961) 285-90-10;kirpol76@gmail.com
Акционерное общество 2МЕН ГРУПП;Тюменская область, город Тюмень, улица Комсомольская 75/5;7701651356;Киселев Сергей Михайлович;+7 (345) 279-18-88;info@2mengroup.ru
Общество с ограниченной ответственностью 40 ЛЕТ ПОБЕДЫ-1;Респ Удмуртская город Ижевск улица Пушкинская д. 268 оф. 90;1831191613;Комаров Сергей Александрович;+7 (341) 291-10-11;office@asso-stroy.ru
Акционерное общество 47 ТРЕСТ;Город Санкт-Петербург, ул Васи Алексеева 9к1;7807020417;Зарубин Михаил Константинович;+7 (921) 940-10-05;trest47@inbox.ru
Общество с ограниченной ответственностью 4Д КОНСТРАКШН;г Санкт-Петербург проспект Старо-Петергофский д. 15 стр. Лит. А помещение 9-Н;7839073281;Глотов Даниил Сергеевич;+7 (812) 602-00-02;LLC4DConstruction@yandex.ru
